Sr_No,Bank,No_of_Transactions,Total_Amount,Active_Customers_Count,Month,Year,Category
84,YES Bank,5185357,2032074631,347186,January,2024,Internet Banking
85,Abhyudaya Co-Operative Bank Ltd.,1,67.3,1,February,2024,Internet Banking
86,Ahmednagar Merchants Co-Op Bank Ltd.,22955,3835291.38,67,February,2024,Internet Banking
87,Airtel Payments Bank,17954,132196.72,326,February,2024,Internet Banking
88,Andhra Pradesh Grameena Vikas Bank ,1362,85459.16,811,February,2024,Internet Banking
89,AU Small Finance Bank Ltd.,2282488,236578061.2,70081,February,2024,Internet Banking
90,Australia And New Zealand Banking Group Limited,29752,151201360.3,58,February,2024,Internet Banking
91,Axis Bank,4653378,456210256.9,1383974,February,2024,Internet Banking
92,Bandhan Bank,316509,63501072.96,65356,February,2024,Internet Banking
93,Bank of America National Association,663109,509945082.2,536,February,2024,Internet Banking
94,Bank of Baroda,3542131,760111327.5,537706,February,2024,Internet Banking
95,Bank of India,2321865,621591801.7,500884,February,2024,Internet Banking
96,Bank of Maharashtra,7514910,279172404.3,159537,February,2024,Internet Banking
97,Barclays Bank PLC,126506,101589770.4,1937,February,2024,Internet Banking
98,Bassein Catholic Co-Operative Bank Ltd.,74849,6191363.47,21646,February,2024,Internet Banking
99,Bharat Co-Operative Bank (Mumbai) Ltd.,49154,12570221.33,3313,February,2024,Internet Banking
100,BNP Paribas,425034,397098210.1,421,February,2024,Internet Banking
101,Canara Bank,3022840,489017617.1,495684,February,2024,Internet Banking
102,Capital Small Finance Bank ,10633,2438374.23,615,February,2024,Internet Banking
103,Central Bank of India,9660129,246717759.1,246901,February,2024,Internet Banking
104,City Union Bank,763596,85656396.21,94047,February,2024,Internet Banking
105,Credit Agricole Corporate & Investment Bank,54226,24903510.04,157,February,2024,Internet Banking
106,CSB Bank Ltd.,93100,4254517.78,51008,February,2024,Internet Banking
107,DBS Bank India Limited,491399,250727323.3,59428,February,2024,Internet Banking
108,DCB Bank Limited,148284,22822352.08,18580,February,2024,Internet Banking
109,Deutsche Bank,41678,3685254.45,17252,February,2024,Internet Banking
110,Dhanlaxmi Bank Ltd.,133506,10752492.03,20090,February,2024,Internet Banking
111,Emirates NBD Bank PJSC,281,65349.16,168,February,2024,Internet Banking
112,Equitas Small Finance Bank,102389,11791402.32,75749,February,2024,Internet Banking
113,ESAF Small Finance Bank,71556,3247334.44,3819,February,2024,Internet Banking
114,Federal Bank,1855357,168122291.1,235119,February,2024,Internet Banking
115,Fincare Small Finance Bank,106445,5082037.72,6594,February,2024,Internet Banking
116,"GP Parsik Sahakari Bank Ltd.,Thane",41627,5339033.08,5241,February,2024,Internet Banking
117,HDFC Bank,62720195,6173334586,27718851,February,2024,Internet Banking
118,HSBC,8199624,3983461101,167785,February,2024,Internet Banking
119,ICICI Bank,100021997,41763956304,4438788,February,2024,Internet Banking
120,IDBI Bank,2344072,652672697.5,533835,February,2024,Internet Banking
121,IDFC First Bank Ltd.,3948304,1139855967,474483,February,2024,Internet Banking
122,Indian Bank,2776682,291196460.9,438570,February,2024,Internet Banking
123,Indian Overeas Bank,3004498,257769603,351406,February,2024,Internet Banking
124,IndusInd Bank Limited,10236439,496055918.6,566694,February,2024,Internet Banking
125,Industrial And Commercial Bank of China Ltd.,830,1142459.08,33,February,2024,Internet Banking
126,Industrial Bank of Korea,2068,1817646.94,106,February,2024,Internet Banking
127,Jana Small Finance Bank,18054,1905237.65,5904,February,2024,Internet Banking
128,"Janata Sahakari Bank Ltd.,Pune",73246,6261525.48,6758,February,2024,Internet Banking
129,Karnataka Bank,429140,56697124.2,38503,February,2024,Internet Banking
130,Kookmin Bank,359,153350.01,95,February,2024,Internet Banking
131,Kotak Mahindra Bank,14385744,3413656520,2212445,February,2024,Internet Banking
132,"Mahesh Sahakari Bank Limited,Pune",8060,1077869.07,10991,February,2024,Internet Banking
133,MUFG Bank Ltd.,126741,120685403.8,523,February,2024,Internet Banking
134,Nainital Bank,13125,2299701.71,1651,February,2024,Internet Banking
135,New India Co-Operative Bank Ltd.,6458,431430.8,1777,February,2024,Internet Banking
136,NKGSB Co-Op. Bank Ltd.,31694,2864674.44,5399,February,2024,Internet Banking
137,North East Small Finance Bank Limited,6682,1150351.49,380,February,2024,Internet Banking
138,NSDL Payments Bank,8577,58734463.34,21,February,2024,Internet Banking
139,Paytm Payments Bank Limited,40831,800780.91,283,February,2024,Internet Banking
140,Punjab & Sind Bank,136747,25539888.77,23512,February,2024,Internet Banking
141,Punjab National Bank,5727806,1630303940,641012,February,2024,Internet Banking
142,RBL Bank,948241,220161295.8,112664,February,2024,Internet Banking
143,Saraswat Co-Operative Bank Ltd.,465218,81830337.35,53491,February,2024,Internet Banking
144,SBM Bank India Ltd.,13806,5836948.01,2926,February,2024,Internet Banking
145,Shinhan Bank,10461,6531345.35,3692,February,2024,Internet Banking
146,Shivalik Small Finance Bank Ltd.,35009,4619215.66,1261,February,2024,Internet Banking
147,Societe Generale,503,2024758.09,10,February,2024,Internet Banking
148,South Indian Bank,655489,77794694.09,68293,February,2024,Internet Banking
149,State Bank of India,113632109,20170134338,38550237,February,2024,Internet Banking
150,Suryoday Small Finance Bank,10753,1113684.8,6738,February,2024,Internet Banking
151,SVC Bank Ltd.,124016,20577075.13,36713,February,2024,Internet Banking
152,Tamil Nadu State Co-Op Bank,10796,7513089.96,787,February,2024,Internet Banking
153,Tamilnad Mercantile Bank Ltd.,552635,78873570.08,43214,February,2024,Internet Banking
154,Thane Bharat Sahakari Bank Ltd.,21552,1761507.01,2872,February,2024,Internet Banking
